DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.598482	59	8	1	7	6	1	1	0	868	2	0	1.97383 	0	0.00019999
DL	0.598625	59	8	2	1	6	1	1	0	868	2	0	1.72431	0	0.188544
UL	0.598732	59	8	2	7	6	1	1	0	868	2	0	1.92903 	0	0.00019999
DL	0.598875	59	8	3	1	6	1	1	0	868	2	0	1.83839	0	0.00019999
UL	0.598982	59	8	3	7	6	1	1	0	868	2	0	1.75775 	0	0.188544
DL	0.599125	59	9	0	1	6	1	1	0	868	2	0	1.90056	0	0.00019999
UL	0.599232	59	9	0	7	6	1	1	0	868	2	0	1.84014 	0	0.00019999
DL	0.599375	59	9	1	1	6	1	1	0	547	0	0	1.98101	0	0
UL	0.599482	59	9	1	7	6	1	1	0	868	2	0	2.10605 	0	0.00019999
DL	0.599625	59	9	2	1	6	1	1	0	868	2	0	2.22042	0	0.00019999
UL	0.599732	59	9	2	7	6	1	1	0	685	1	0	2.45702 	0	0
DL	0.599875	59	9	3	1	6	1	1	0	868	2	0	2.43633	0	0.00019999
UL	0.599982	59	9	3	7	6	1	1	0	868	2	0	2.50452 	0	0
DL	0.600125	60	0	0	1	6	1	1	0	868	2	0	2.57878	0	0
UL	0.600232	60	0	0	7	6	1	1	0	868	2	0	2.66962 	0	0
DL	0.600375	60	0	1	1	6	1	1	0	868	2	0	2.83912	0	0
UL	0.600482	60	0	1	7	6	1	1	0	868	2	0	2.97604 	0	0
DL	0.600625	60	0	2	1	6	1	1	0	868	2	0	3.06592	0	0
UL	0.600732	60	0	2	7	6	1	1	0	868	2	0	3.20191 	0	0
DL	0.600875	60	0	3	1	6	1	1	0	868	2	0	3.04436	0	0
UL	0.600982	60	0	3	7	6	1	1	0	868	2	0	3.05568 	0	0
DL	0.601125	60	1	0	1	6	1	1	0	868	2	0	2.70856	0	0
UL	0.601232	60	1	0	7	6	1	1	0	1140	3	0	2.71463 	0	0.0734258
DL	0.601375	60	1	1	1	6	1	1	0	868	2	0	3.09854	0	0
UL	0.601482	60	1	1	7	6	1	1	0	1140	3	0	2.83675 	0	0.0734258
DL	0.601625	60	1	2	1	6	1	1	0	868	2	0	2.82638	0	0
UL	0.601732	60	1	2	7	6	1	1	0	1140	3	0	2.85225 	0	0.0734258
DL	0.601875	60	1	3	1	6	1	1	0	868	2	0	3.09077	0	0
UL	0.601982	60	1	3	7	6	1	1	0	868	2	0	3.12326 	0	0
